subject,env,tree,tree_type,harvest_dur,num_harvests,difficulty_at_exit,score_tree,dur_per_harvest
5fbda54192401b1cba1129b3,1,5,bad,49160,9,41,78,"[0, 0, 1940, 3331, 4536, 5754, 6979, 8320, 9905]"
5fbda54192401b1cba1129b3,1,6,bad,36089,7,31,58,"[0, 1065, 2244, 4270, 6574, 6961, 7058]"
5fbda54192401b1cba1129b3,1,7,bad,52642,8,36,70,"[0, 1122, 2224, 3558, 5138, 6687, 6640, 17636]"
5fbda54192401b1cba1129b3,1,8,good,70498,14,27,129,"[0, 459, 869, 1352, 1899, 3392, 2883, 4117, 4179, 4624, 7102, 7851, 5154, 8870]"
5fbda54192401b1cba1129b3,1,9,good,60385,14,27,135,"[0, 454, 876, 1264, 2069, 2589, 2675, 3364, 3964, 5667, 4470, 5627, 8872, 1377]"
5fbda54192401b1cba1129b3,1,10,good,39913,10,19,94,"[0, 458, 819, 1380, 1725, 2456, 2764, 3683, 4009, 10006]"
5fbda54192401b1cba1129b3,1,11,bad,25609,5,21,39,"[0, 1072, 2328, 4214, 12883]"
5fbda54192401b1cba1129b3,1,12,good,36788,10,19,89,"[0, 651, 936, 1437, 2498, 2592, 3136, 3448, 4049, 6486]"
5fbda54192401b1cba1129b3,1,13,good,29365,9,20,79,"[0, 482, 909, 1416, 1861, 2394, 3392, 5346, 3136]"
5fbda54192401b1cba1129b3,1,14,bad,29700,6,26,51,"[0, 1056, 2332, 4720, 5019, 9955]"
5fbda54192401b1cba1129b3,1,15,bad,33377,8,36,68,"[0, 996, 2213, 3424, 5294, 5683, 7259, 0]"
5fbda54192401b1cba1129b3,1,16,bad,75268,9,41,82,"[0, 974, 2529, 4192, 6575, 17207, 10117, 7720, 14392]"
5fbda54192401b1cba1129b3,1,17,bad,40837,6,26,48,"[0, 1027, 2658, 5657, 13619, 9743]"
5fbda54192401b1cba1129b3,1,18,bad,41237,7,31,57,"[0, 938, 2874, 4751, 6965, 6129, 9804]"
5fbda54192401b1cba1129b3,1,19,bad,50767,7,31,63,"[0, 925, 2485, 3721, 5638, 7650, 17702]"
5fbda54192401b1cba1129b3,1,20,good,50503,11,21,100,"[0, 410, 772, 1538, 2783, 2247, 4303, 7923, 3983, 4680, 6905]"
66672cf74a7ce26512636d19,0,1,bad,67080,12,56,113,"[0, 897, 1426, 2780, 3484, 3773, 5202, 5297, 6998, 7035, 9112, 1218]"
66672cf74a7ce26512636d19,0,2,good,89634,20,39,188,"[0, 476, 819, 1079, 990, 1693, 2275, 3557, 5387, 5467, 4205, 4466, 5040, 4081, 3933, 4369, 6955, 4819, 5869, 0]"
66672cf74a7ce26512636d19,0,3,good,93250,21,41,204,"[0, 405, 461, 1251, 1696, 1762, 2016, 2798, 3125, 2773, 3032, 3090, 3551, 4320, 4810, 4679, 5692, 6755, 6289, 7592, 0]"
66672cf74a7ce26512636d19,0,4,good,119846,22,43,205,"[0, 389, 792, 1201, 1963, 2208, 2919, 4024, 4186, 4969, 4939, 6681, 3783, 7635, 7371, 7485, 6411, 7273, 7110, 5434, 6316, 0]"
66672cf74a7ce26512636d19,0,5,good,115889,21,41,198,"[0, 715, 1112, 907, 2248, 2585, 3358, 3617, 4306, 2882, 4071, 6926, 7881, 5220, 4900, 6423, 7532, 8662, 8436, 8479, 0]"
66672cf74a7ce26512636d19,0,6,bad,60492,11,51,101,"[0, 1266, 2766, 2599, 7052, 5013, 6538, 7091, 6643, 7800, 0]"
66672cf74a7ce26512636d19,0,7,bad,56618,11,51,97,"[0, 1922, 1881, 2832, 4748, 3978, 5053, 6565, 8269, 8706, 0]"
66672cf74a7ce26512636d19,0,8,bad,81773,13,61,118,"[0, 1141, 2041, 2681, 3948, 4740, 6101, 6203, 7383, 10917, 9156, 10960, 1043]"
66672cf74a7ce26512636d19,0,9,good,62737,17,33,158,"[0, 283, 703, 874, 1949, 2024, 2492, 2268, 2970, 3341, 3151, 3624, 4647, 4577, 5711, 4813, 0]"
66672cf74a7ce26512636d19,0,10,bad,100633,15,71,146,"[0, 1093, 1508, 2551, 2811, 4155, 5386, 6461, 6765, 8667, 7965, 10030, 11298, 11673, 1432]"
66672cf74a7ce26512636d19,1,1,bad,155022,19,91,183,"[0, 1369, 2226, 2988, 3676, 4192, 5254, 6146, 6327, 8287, 8385, 8650, 9576, 10923, 11479, 11600, 12550, 13727, 3523]"
66672cf74a7ce26512636d19,1,2,good,116322,23,45,221,"[0, 375, 874, 1136, 1419, 1530, 2422, 2654, 3354, 3980, 3922, 4299, 4204, 4208, 5787, 4954, 5575, 5442, 6594, 6832, 7355, 7303, 0]"
66672cf74a7ce26512636d19,1,3,bad,110339,16,76,152,"[0, 1077, 2115, 3315, 3089, 5034, 5246, 5570, 7640, 9000, 8068, 9238, 9797, 11449, 10641, 0]"
66672cf74a7ce26512636d19,1,4,good,143917,26,51,253,"[0, 298, 553, 1485, 2125, 1650, 1798, 3576, 5724, 3270, 3235, 3325, 3910, 4777, 4534, 5681, 7219, 5934, 7495, 6988, 6913, 7457, 6618, 8502, 7950, 0]"
66672cf74a7ce26512636d19,1,5,bad,140529,17,81,157,"[0, 658, 1668, 3081, 4467, 5878, 7068, 6742, 6099, 6701, 8196, 8075, 10179, 10922, 12730, 13353, 9949]"
66672cf74a7ce26512636d19,1,6,bad,105135,15,71,140,"[0, 1072, 1741, 1932, 2722, 3914, 5765, 5833, 6882, 9330, 11705, 8437, 9269, 11285, 6504]"
